time,color
70.618,HARD
70.619,HARD
70.62,MEDIUM
70.621,HARD
70.624,HARD
70.625,MEDIUM
70.626,HARD
70.627,HARD
70.628,HARD
70.629,HARD
70.631,HARD
70.632,MEDIUM
70.633,HARD
70.634,HARD
70.636,HARD
70.641,MEDIUM
70.642,SOFT
70.643,HARD
70.644,HARD
70.645,HARD
70.646,HARD
70.647,HARD
70.648,HARD
70.649,HARD
70.65,MEDIUM
70.653,HARD
70.654,HARD
70.656,MEDIUM
70.657,MEDIUM
70.658,HARD
70.662,MEDIUM
70.664,HARD
70.666,MEDIUM
70.667,HARD
70.668,MEDIUM
70.669,MEDIUM
70.67,HARD
70.67099999999999,MEDIUM
70.673,HARD
70.675,HARD
70.676,HARD
70.67699999999999,MEDIUM
70.678,HARD
70.679,HARD
70.68,HARD
70.681,HARD
70.685,HARD
70.686,HARD
70.687,HARD
70.689,HARD
70.69,HARD
70.691,HARD
70.693,MEDIUM
70.695,HARD
70.696,HARD
70.697,SOFT
70.69800000000001,HARD
70.699,MEDIUM
70.7,HARD
70.701,HARD
70.703,HARD
70.705,MEDIUM
70.706,HARD
70.708,HARD
70.709,HARD
70.71000000000001,HARD
70.712,HARD
70.715,HARD
70.717,HARD
70.718,HARD
70.719,HARD
70.72,HARD
70.721,MEDIUM
70.723,HARD
70.724,SOFT
70.725,HARD
70.726,SOFT
70.727,HARD
70.729,HARD
70.73,MEDIUM
70.731,SOFT
70.733,SOFT
70.734,MEDIUM
70.736,HARD
70.737,HARD
70.74,HARD
70.741,MEDIUM
70.742,HARD
70.743,MEDIUM
70.745,MEDIUM
70.746,MEDIUM
70.747,HARD
70.748,HARD
70.751,HARD
70.753,HARD
70.755,HARD
70.758,HARD
70.759,HARD
70.761,MEDIUM
70.763,MEDIUM
70.765,HARD
70.766,MEDIUM
70.767,HARD
70.768,SOFT
70.77,HARD
70.771,HARD
70.773,HARD
70.774,HARD
70.776,SOFT
70.777,HARD
70.784,MEDIUM
70.788,HARD
70.789,SOFT
70.78999999999999,MEDIUM
70.792,HARD
70.793,HARD
70.794,HARD
70.797,MEDIUM
70.799,MEDIUM
70.8,HARD
70.801,MEDIUM
